"";"crim";"zn";"indus";"chas";"nox";"rm";"age";"dis";"rad";"tax";"ptratio";"black";"lstat";"medv"
"6";0,000264471526768385;0;0,063049853372434;0;0,150205761316872;0,549722168997892;0,574665293511844;0,448544589838955;0,0869565217391304;0,066793893129771;0,648936170212766;0,992990065056231;0,0960264900662252;0,526666666666667
"8";0,00155367187187394;0,125;0,271627565982405;0;0,286008230452675;0,500287411381491;0,959835221421215;0,438387181842156;0,173913043478261;0,236641221374046;0,276595744680851;1;0,480684326710817;0,491111111111111
"9";0,00230325139249373;0,125;0,271627565982405;0;0,286008230452675;0,396627706457176;1;0,450354190726477;0,173913043478261;0,236641221374046;0,276595744680851;0,974103585657371;0,778145695364238;0,255555555555556
"10";0,00184017332607395;0,125;0,271627565982405;0;0,286008230452675;0,468097336654532;0,854788877445932;0,496730896889123;0,173913043478261;0,236641221374046;0,276595744680851;0,974305310403954;0,424116997792495;0,308888888888889
"18";0,00874318364821892;0;0,281524926686217;0;0,314814814814815;0,465414830427285;0,811534500514933;0,284471078212951;0,130434782608696;0,229007633587786;0,893617021276596;0,974406172777246;0,357064017660044;0,277777777777778
"26";0,00937643166428908;0;0,281524926686217;0;0,314814814814815;0,390496263652041;0,852729145211123;0,302357937236858;0,130434782608696;0,229007633587786;0,893617021276596;0,764284633617429;0,407836644591612;0,197777777777778
"29";0,00861718595102073;0;0,281524926686217;0;0,314814814814815;0,562176662195823;0,942327497425335;0,302367030708654;0,130434782608696;0,229007633587786;0,893617021276596;0,977406828382672;0,30546357615894;0,297777777777778
"33";0,0155296376706364;0;0,281524926686217;0;0,314814814814815;0,457750526920866;0,814624098867147;0,260109667269867;0,130434782608696;0,229007633587786;0,893617021276596;0,585707801704574;0,716887417218543;0,182222222222222
"36";0,000650220051999621;0;0,201612903225806;0;0,234567901234568;0,454493197930638;0,672502574665294;0,202848075366694;0,173913043478261;0,175572519083969;0,702127659574468;1;0,219370860927152;0,308888888888889
"38";0,000829719001531754;0;0,201612903225806;0;0,234567901234568;0,438589768154819;0,397528321318229;0,255035510007366;0,173913043478261;0,175572519083969;0,702127659574468;1;0,194260485651214;0,355555555555556
"42";0,00136135959720301;0;0,236436950146628;0;0,12962962962963;0,614868748802453;0;0,417508570597168;0,0869565217391304;0,0877862595419847;0,563829787234042;0,971027283271976;0,0858167770419426;0,48
"49";0,00278240231413148;0;0,236436950146628;0;0,12962962962963;0,352174746119946;0,951596292481977;0,431066937045895;0,0869565217391304;0,0877862595419847;0,563829787234042;1;0,80242825607064;0,208888888888889
"53";0,00053141580049338;0,21;0,189882697947214;0;0,111111111111111;0,565242383598391;0,187435633367662;0,516972965108349;0,130434782608696;0,106870229007634;0,446808510638298;1;0,0979580573951435;0,444444444444444
"70";0,00136945222360646;0,125;0,205645161290323;0;0,0493827160493826;0,445296033722935;0,309989701338826;0,488173939928525;0,130434782608696;0,301526717557252;0,670212765957447;1;0,194812362030905;0,353333333333333
"72";0,00171338884575319;0;0,379398826979472;0;0,0576131687242798;0,459858210385131;0,150360453141092;0,378079276887123;0,130434782608696;0,225190839694656;0,702127659574468;0,94966967572747;0,224889624724062;0,371111111111111
"92";0,000370912043491573;0;0,108137829912023;0;0,213991769547325;0,544931979306381;0,731204943357364;0,17845938400822;0,0434782608695652;0,158396946564885;0,553191489361702;0,991552776236825;0,178532008830022;0,377777777777778
"93";0,000401371790093456;0,28;0,534457478005865;0;0,162551440329218;0,552021460049818;0,522142121524202;0,230637725177095;0,130434782608696;0,158396946564885;0,595744680851064;0,99523425286197;0,17742825607064;0,397777777777778
"99";0,000849163784417828;0;0,0890762463343109;0;0,123456790123457;0,816056715845948;0,350154479917611;0,215115168820304;0,0434782608695652;0,169847328244275;0,574468085106383;0,991502345050179;0,0507726269315673;0,862222222222222
"100";0,000700012183898641;0;0,0890762463343109;0;0,123456790123457;0,738647250431117;0,613800205973223;0,215115168820304;0,0434782608695652;0,169847328244275;0,574468085106383;1;0,123068432671082;0,626666666666667
"105";0,00149803506535021;0;0,29692082111437;0;0,277777777777778;0,499329373443188;0,897013388259526;0,117433094781257;0,173913043478261;0,375954198473282;0,882978723404255;0,989384235211055;0,292494481236203;0,335555555555556
"106";0,00141958154827229;0;0,29692082111437;0;0,277777777777778;0,438781375742479;0,966014418125644;0,0888704998681447;0,173913043478261;0,375954198473282;0,882978723404255;0,99281355590297;0,406732891832229;0,322222222222222
"113";0,00131471459779422;0;0,350073313782991;0;0,333333333333333;0,450661046177429;0,926879505664264;0,111285907846757;0,217391304347826;0,467557251908397;0,553191489361702;0,995082959302032;0,399558498896247;0,306666666666667
"116";0,00185478501263574;0;0,350073313782991;0;0,333333333333333;0,453535159992336;0,878475798146241;0,121261446407624;0,217391304347826;0,467557251908397;0,553191489361702;0,868904130314186;0,387141280353201;0,295555555555556
"126";0,00182870877200239;0;0,923387096774194;0;0,403292181069959;0,464648400076643;0,88053553038105;0,0785039420200238;0,0434782608695652;0,00190839694656489;0,691489361702128;0,970043875132382;0,360927152317881;0,364444444444444
"131";0,0037511571331781;0;0,785557184750733;0;0,491769547325103;0,555087181452386;0,988671472708548;0,0899253425965499;0,130434782608696;0,477099236641221;0,914893617021276;0,995309899641939;0,299944812362031;0,315555555555556
"133";0,00656098445901017;0;0,785557184750733;0;0,491769547325103;0,538608928913585;0,978372811534501;0,108921605179642;0,130434782608696;0,477099236641221;0,914893617021276;0,971909829038277;0,259105960264901;0,4
"136";0,00619827743951099;0;0,785557184750733;0;0,491769547325103;0,531519448170148;0,981462409886715;0,0892160517964154;0,130434782608696;0,477099236641221;0,914893617021276;0,994376922688991;0,420253863134658;0,291111111111111
"144";0,0459827528147728;0;0,700879765395894;0;1;0,365395669668519;1;0,0256617774099974;0,173913043478261;0,412213740458015;0,223404255319149;1;0,681291390728477;0,235555555555556
"147";0,0241512071276257;0;0,700879765395894;0;1;0,396052883694194;1;0,0351917358528313;0,173913043478261;0,412213740458015;0,223404255319149;0,426017449190579;0,411699779249448;0,235555555555556
"156";0,0396616248105539;0;0,700879765395894;1;1;0,496455259628281;0,820803295571576;0,0560066927952423;0,173913043478261;0,412213740458015;0,223404255319149;0,221115537848606;0,366721854304636;0,235555555555556
"186";0,00060863294409299;0;0,0733137829912024;0;0,211934156378601;0,496646867215942;0,678681771369722;0,195518737098637;0,0869565217391304;0,0114503816793893;0,553191489361702;0,97531393413687;0,315121412803532;0,546666666666667
"196";0,0000841857941136933;0,8;0;0;0,0761316872427983;0,826595133167274;0,299691040164779;0,410915803544635;0,130434782608696;0,129770992366412;0,191489361702128;0,993267436582783;0,0342163355408389;1
"197";0,000379791453017583;0,8;0,0388563049853373;0;0,0390946502057614;0,713929871622916;0,321318228630278;0,561921996198929;0,0434782608695652;0,270992366412214;0;1;0,0648454746136865;0,628888888888889
"199";0,000352478838905931;0,8;0,0388563049853373;0;0,0390946502057614;0,71143897298333;0,364572605561277;0,561921996198929;0,0434782608695652;0,270992366412214;0;0,988148671138232;0,134933774834437;0,657777777777778
"200";0,000283017128942964;0,95;0,0370234604105572;0;0,0370370370370371;0,654148304272849;0,127703398558187;0,59323991306641;0,0869565217391304;0,41030534351145;0,468085106382979;1;0,0780905077262693;0,664444444444444
"210";0,00482624007135898;0;0,37133431085044;1;0,213991769547325;0,341636328798621;1;0,24965217470378;0,130434782608696;0,17175572519084;0,638297872340426;1;0,589403973509934;0,333333333333333
"216";0,00215466177991923;0;0,37133431085044;0;0,213991769547325;0,502203487258096;0,406797116374871;0,256053978848585;0,130434782608696;0,17175572519084;0,638297872340426;0,991754500983408;0,213576158940397;0,444444444444444
"219";0,0011730936357338;0;0,492302052785924;1;0,339506172839506;0,457942134508527;0,936148300720906;0,160017823204721;0,173913043478261;0,169847328244275;0,404255319148936;1;0,446743929359823;0,366666666666667
"220";0,00121310717739532;0;0,492302052785924;1;0,339506172839506;0,538800536501246;0,92173017507724;0,203120879520592;0,173913043478261;0,169847328244275;0,404255319148936;0,99203187250996;0,241997792494481;0,4
"221";0,00395380998603123;0;0,210410557184751;1;0,251028806584362;0,649549722168998;0,881565396498455;0,15750802498886;0,304347826086957;0,229007633587786;0,51063829787234;0,986887891472086;0,220198675496689;0,482222222222222
"232";0,00513252350121187;0;0,210410557184751;0;0,244855967078189;0,737880820080475;0,762100926879506;0,231146959597705;0,304347826086957;0,229007633587786;0,51063829787234;0,947652428261637;0,0971302428256071;0,593333333333333
"238";0,00568181051834621;0;0,210410557184751;0;0,251028806584362;0,72753401034681;0,707518022657055;0,274477352708491;0,304347826086957;0,229007633587786;0,51063829787234;0,982777749760452;0,0827814569536424;0,588888888888889
"239";0,000855570446987227;0,3;0,163856304985337;0;0,088477366255144;0,559494155968576;0,160659114315139;0,460156953323209;0,217391304347826;0,215648854961832;0,425531914893617;0,955897927278229;0,127759381898455;0,415555555555556
"240";0,000968867216635562;0,3;0,163856304985337;0;0,088477366255144;0,583445104426135;0,404737384140062;0,460156953323209;0,217391304347826;0,215648854961832;0,425531914893617;0,966917141560341;0,155629139072848;0,406666666666667
"242";0,00112172793758967;0,3;0,163856304985337;0;0,088477366255144;0,485533627131634;0,640576725025747;0,473451609089834;0,217391304347826;0,215648854961832;0,425531914893617;0,994250844722376;0,294426048565121;0,335555555555556
"246";0,00207946779292048;0,22;0,197947214076246;0;0,0946502057613168;0,391645909178004;0,693099897013388;0,62065673053315;0,260869565217391;0,272900763358779;0,691489361702128;0,980407483988098;0,461644591611479;0,3
"253";0,00085298530244168;0,22;0,197947214076246;0;0,0946502057613168;0,650699367694961;0,0401647785787848;0,707208395093163;0,260869565217391;0,272900763358779;0,691489361702128;0,972741943617933;0,0496688741721854;0,546666666666667
"257";0,000101832215576777;0,9;0,120601173020528;0;0,0185185185185185;0,745928338762215;0,322348094747683;0,473451609089834;0,0869565217391304;0,108778625954198;0,351063829787234;0,973372333451006;0,0380794701986755;0,866666666666667
"258";0,00680252687763544;0,2;0,12866568914956;0;0,539094650205761;0,985437823337804;0,865087538619979;0,0610535696423538;0,173913043478261;0,146946564885496;0,0425531914893617;0,981844772807504;0,0935430463576159;1
"259";0,0073866571473402;0,2;0,12866568914956;0;0,539094650205761;0,722743820655298;1;0,0695650592439688;0,173913043478261;0,146946564885496;0,0425531914893617;0,965681577487518;0,167218543046358;0,688888888888889
"260";0,00730955240132953;0,2;0,12866568914956;0;0,539094650205761;0,628664495114007;1;0,0801225799998181;0,173913043478261;0,146946564885496;0,0425531914893617;0,987467850118513;0,14266004415011;0,557777777777778
"268";0,00642936688236513;0,2;0,12866568914956;0;0,390946502057613;0,907453535159993;0,660144181256437;0,117487655612036;0,173913043478261;0,146946564885496;0,0425531914893617;0,968833526652882;0,157560706401766;1
"270";0,000947848867504373;0,2;0,238269794721408;1;0,162551440329218;0,452002299291052;0,603501544799176;0,253516900217334;0,0869565217391304;0,0687022900763359;0,638297872340426;0,985980130112462;0,328918322295806;0,348888888888889
"271";0,00329145099442643;0,2;0,238269794721408;0;0,162551440329218;0,439739413680782;0,403707518022657;0,300030008456929;0,0869565217391304;0,0687022900763359;0,638297872340426;0,979197135508599;0,31098233995585;0,357777777777778
"276";0,00100843116794133;0,4;0,218108504398827;0;0,127572016460905;0,630963786165932;0,41091658084449;0,285325864561831;0,130434782608696;0,127862595419847;0,531914893617021;1;0,0344922737306843;0,6
"277";0,0011056550823717;0,4;0,218108504398827;1;0,127572016460905;0,710097719869707;0,474768280123584;0,33260282443234;0,130434782608696;0,127862595419847;0,531914893617021;0,980710071107973;0,119205298013245;0,626666666666667
"278";0,000617624751207937;0,4;0,218108504398827;1;0,127572016460905;0,625598773711439;0,25437693099897;0,339477489110568;0,130434782608696;0,127862595419847;0,531914893617021;0,991300620303596;0,0670529801324503;0,624444444444444
"279";0,000825672688330028;0,4;0,218108504398827;0;0,127572016460905;0,559685763556237;0,300720906282183;0,273777155380153;0,130434782608696;0,127862595419847;0,531914893617021;1;0,150662251655629;0,535555555555556
"288";0,000364055790566425;0,525;0,178152492668622;0;0,0411522633744856;0,507376892124928;0,292481977342945;0,56266766088625;0,217391304347826;0,202290076335878;0,425531914893617;1;0,149282560706402;0,404444444444444
"290";0,000411937163453519;0,525;0,178152492668622;0;0,0411522633744856;0,575589193332056;0,205973223480947;0,56266766088625;0,217391304347826;0,202290076335878;0,425531914893617;0,93650713601291;0,214679911699779;0,44
"292";0,000815332110147839;0,8;0,164589442815249;0;0,0534979423868312;0,687296416938111;0,255406797116375;0,362565814002128;0,130434782608696;0,110687022900763;0,702127659574468;1;0,0504966887417219;0,717777777777778
"295";0,00085051255548507;0;0,493401759530792;0;0,106995884773663;0,469055374592834;0,405767250257467;0,397666615136993;0,130434782608696;0,194656488549618;0,361702127659574;1;0,239238410596026;0,371111111111111
"296";0,00138249034392313;0;0,493401759530792;0;0,106995884773663;0,597240850737689;0,290422245108136;0,439287435550019;0,130434782608696;0,194656488549618;0,361702127659574;1;0,125275938189845;0,524444444444444
"300";0,000554007715869685;0,7;0,0652492668621701;0;0,0308641975308642;0,66679440505844;0,0731204943357363;0,609098927879675;0,173913043478261;0,326335877862595;0,234042553191489;0,93615411770639;0,0830573951434879;0,533333333333333
"315";0,00407868370734006;0;0,346041055718475;0;0,327160493827161;0,575972408507377;0,869207003089598;0,22485427711446;0,130434782608696;0,223282442748092;0,617021276595745;0,996948913207928;0,208333333333333;0,417777777777778
"323";0,00387569366172012;0;0,25366568914956;0;0,222222222222222;0,475186817397969;0,484037075180227;0,326592039574789;0,173913043478261;0,190839694656489;0,74468085106383;1;0,164735099337748;0,342222222222222
"327";0,00333989435525821;0;0,25366568914956;0;0,222222222222222;0,527112473653957;0,267765190525232;0,389773481617547;0,173913043478261;0,190839694656489;0,74468085106383;1;0,1219646799117;0,4
"336";0,000374171573570741;0;0,173387096774194;0;0,267489711934156;0,474420387047327;0,325437693099897;0,441551710027371;0,173913043478261;0,0706106870229008;0,808510638297872;1;0,173289183222958;0,357777777777778
"338";0,000270765791748848;0;0,173387096774194;0;0,267489711934156;0,44721210959954;0,583934088568486;0,407878583964572;0,173913043478261;0,0706106870229008;0,808510638297872;0,994729940995512;0,243653421633554;0,3
"347";0,000621558666820726;0;0,144061583577713;0;0,117283950617284;0,447786932362522;0,50875386199794;0,625994598477753;0,0869565217391304;0,314885496183206;0,659574468085106;0,918578849160321;0,301876379690949;0,271111111111111
"351";0,000627066148678631;0,4;0,0289589442815249;0;0,0905349794238683;0,561218624257521;0,427394438722966;0,696787276414262;0;0,282442748091603;0,75531914893617;1;0,117273730684327;0,397777777777778
"354";0,000121052203284977;0,9;0,0571847507331378;0;0,0514403292181069;0,606821230120713;0,341915550978373;1;0,173913043478261;0;0,468085106382979;0,968631801906299;0,0764348785871965;0,557777777777778
"355";0,000412386753809267;0,8;0,0531524926686217;0;0,0576131687242798;0,402759149262311;0,1956745623069;0,85988778655803;0,130434782608696;0,280534351145038;1;0,964446013414696;0,17439293598234;0,293333333333333
"356";0,0011270106242697;0,8;0,0531524926686217;0;0,0576131687242798;0,45506802069362;0,170957775489186;0,85988778655803;0,130434782608696;0,280534351145038;1;0,947400272328408;0,105960264900662;0,346666666666667
"364";0,0473876102788944;0;0,646627565982405;1;0,792181069958848;0,429584211534777;0,886714727085479;0,0704834998954251;1;0,91412213740458;0,808510638297872;0,889404407685713;0,356236203090508;0,262222222222222
"370";0,0636581728558024;0;0,646627565982405;1;0,506172839506173;0,598198888675992;0,967044284243048;0,0206512744500723;1;0,91412213740458;0,808510638297872;0,945609965202481;0,0551876379690949;1
"376";0,220330520845931;0;0,646627565982405;0;0,588477366255144;0,718911668902089;0,978372811534501;0,016977511844247;1;0,91412213740458;0,808510638297872;1;0,323123620309051;0,222222222222222
"380";0,200746364949576;0;0,646627565982405;0;0,588477366255144;0,510059398352175;1;0,0233247551582719;1;0,91412213740458;0,808510638297872;0,99203187250996;0,553256070640177;0,115555555555556
"382";0,17835339330569;0;0,646627565982405;0;0,588477366255144;0,571757041578847;0,990731204943357;0,0354281661195428;1;0,91412213740458;0,808510638297872;1;0,533940397350993;0,131111111111111
"386";0,188889543292629;0;0,646627565982405;0;0,648148148148148;0,328798620425369;0,98043254376931;0,0269621438769108;1;0,91412213740458;0,808510638297872;1;0,80242825607064;0,0488888888888889
"389";0,161036296778191;0;0,646627565982405;0;0,648148148148148;0,252730408124162;1;0,0418208767925506;1;0,91412213740458;0,808510638297872;0,93953300721166;0,797185430463576;0,115555555555556
"391";0,0781818521054541;0;0,646627565982405;0;0,648148148148148;0,412339528645334;0,969104016477858;0,0724658767470833;1;0,91412213740458;0,808510638297872;0,993771748449241;0,42439293598234;0,224444444444444
"394";0,0970939828175558;0;0,646627565982405;0;0,633744855967078;0,504311170722361;0,923789907312049;0,0601624094062872;1;0,91412213740458;0,808510638297872;1;0,370860927152318;0,195555555555556
"396";0,0979031330603121;0;0,646627565982405;0;0,633744855967078;0,557578080091972;0,987641606591143;0,0542061853795161;1;0,91412213740458;0,808510638297872;0,987593928085128;0,424668874172185;0,18
"400";0,111388595780954;0;0,646627565982405;0;0,633744855967078;0,43897298333014;0,771369721936148;0,0337185934217825;1;0,91412213740458;0,808510638297872;0,851883604821222;0,77924944812362;0,0288888888888889
"406";0,763342380589925;0;0,646627565982405;0;0,633744855967078;0,40659130101552;1;0,0268984895743346;1;0,91412213740458;0,808510638297872;0,969917797165767;0,586368653421633;0
"411";0,574683027559439;0;0,646627565982405;0;0,436213991769547;0,420770262502395;1;0,0257708990715565;1;0,91412213740458;0,808510638297872;0,00574915527762368;0,231236203090508;0,222222222222222
"412";0,157855445011278;0;0,646627565982405;0;0,436213991769547;0,593217091396819;1;0,0361829242786604;1;0,91412213740458;0,808510638297872;0,0875737556104695;0,53780353200883;0,271111111111111
"417";0,121702760529743;0;0,646627565982405;0;0,604938271604938;0,617168039854378;0,905252317198764;0,0627358619247242;1;0,91412213740458;0,808510638297872;0,0535831358111856;0,663907284768212;0,0555555555555556
"422";0,0788611831329884;0;0,646627565982405;0;0,685185185185185;0,468480551829853;0,951596292481977;0,0677463648846493;1;0,91412213740458;0,808510638297872;0,80604165616017;0,385485651214128;0,204444444444444
"436";0,125369169880863;0;0,646627565982405;0;0,730452674897119;0,587852078942326;0,944387229660144;0,090489137847939;1;0,91412213740458;0,808510638297872;0,276186393665843;0,594370860927152;0,186666666666667
"437";0,16201527977783;0;0,646627565982405;0;0,730452674897119;0,555662004215367;0,930998970133883;0,0793860087842938;1;0,91412213740458;0,808510638297872;0,0685107670583489;0,450331125827815;0,102222222222222
"439";0,153667510847491;0;0,646627565982405;0;0,730452674897119;0,454876413105959;0,875386199794027;0,0628358901144868;1;0,91412213740458;0,808510638297872;0,173054616975137;0,891004415011038;0,0755555555555556
"447";0,0706053554303996;0;0,646627565982405;0;0,730452674897119;0,53266909369611;0,962924819773429;0,0856968782111322;1;0,91412213740458;0,808510638297872;0,801074184275556;0,443156732891832;0,22
"451";0,0754345178390709;0;0,646627565982405;0;0,674897119341564;0,610844989461583;0,923789907312049;0,108576053251371;1;0,91412213740458;0,808510638297872;0;0,433498896247241;0,186666666666667
"455";0,106859872127511;0;0,646627565982405;0;0,674897119341564;0,606821230120713;0,93923789907312;0,124262292100501;1;0,91412213740458;0,808510638297872;0,0160371173533713;0,468543046357616;0,22
"471";0,0488083158030561;0;0,646627565982405;0;0,401234567901234;0,499329373443188;0,835221421215242;0,173121516063618;1;0,91412213740458;0,808510638297872;1;0,401766004415011;0,331111111111111
"474";0,0521588879292633;0;0,646627565982405;0;0,47119341563786;0,655106342211152;0,666323377960865;0,127608689721649;1;0,91412213740458;0,808510638297872;0,943970951636492;0,274006622516556;0,551111111111111
"476";0,0717860921021811;0;0,646627565982405;0;0,409465020576132;0,498371335504886;0,973223480947477;0,0978821304185725;1;0,91412213740458;0,808510638297872;0,762620404458117;0,617273730684327;0,184444444444444
"483";0,064345821304918;0;0,646627565982405;0;0,302469135802469;0,67062655681165;0,76313079299691;0,207422091680383;1;0,91412213740458;0,808510638297872;0,995915073881688;0,145695364238411;0,444444444444444
"486";0,0412201297787521;0;0,646627565982405;0;0,407407407407407;0,527112473653957;0,504634397528321;0,260264256290409;1;0,91412213740458;0,808510638297872;0,97912148872863;0,244205298013245;0,36
"490";0,00198999931212676;0;1;0;0,460905349794239;0,355048859934853;0,982492276004119;0,0569069465031054;0,130434782608696;1;0,797872340425532;0,866735589288416;0,613686534216335;0,0444444444444444
"495";0,00307126411769916;0;0,338343108504399;0;0,411522633744856;0,453151944817015;0,408856848609681;0,113859360365194;0,217391304347826;0,389312977099237;0,702127659574468;1;0,327262693156733;0,433333333333333
"496";0,00194076916817242;0;0,338343108504399;0;0,411522633744856;0,404100402375934;0,266735324407827;0,151770044285208;0,217391304347826;0,389312977099237;0,702127659574468;0,990897170810429;0,437913907284768;0,402222222222222
"497";0,00318399889940281;0;0,338343108504399;0;0,411522633744856;0,350450277831002;0,720906282183316;0,151770044285208;0,217391304347826;0,389312977099237;0,702127659574468;1;0,535596026490066;0,326666666666667
"505";0,00116072990095075;0;0,420454545454545;0;0,386831275720165;0,619467330906304;0,889804325437693;0,114514090334549;0;0,16412213740458;0,893617021276596;0,991300620303596;0,1310706401766;0,377777777777778
